Date,Track,RaceNumber,HorseNumber,HorseName,Weight,RSRLastRun,Barrier,Jockey,Odds,Trainer,RunsFromSpell,DaysSinceLastRun,LastStartFinishPosition,Distance,Age,Starts,FinishPosition,RSR
7/11/2023,Bunbury,5,4,Bobsled,54.5,75.57100599,6,Cassey Martinan,9.5,M E Byas,1,12,3,1705,6,31,4,72.24193548
7/11/2023,Bunbury,5,5,Buckeye Bullet,57.5,71.37500016,4,Jade Mc Naught,13,Ms S Bakranich,1,20,8,1705,6,17,2,80.44838714
7/11/2023,Bunbury,5,6,Predetermined,57,68.51874992,5,Austin Galati,18,Aaron Pateman,4,9,5,1705,5,22,7,71.82258065
7/11/2023,Bunbury,5,8,See Ya Champ,55,74.35312516,7,J Whiting,5,G C Ballantyne,8,20,5,1705,7,41,3,73.28709693
7/11/2023,Bunbury,5,9,Shadow Girl,53,58.48124967,3,Victora Corver,20,G A Crispin,6,20,13,1705,7,34,8,66.36451598
7/11/2023,Bunbury,6,1,Manavendra,60,71.85,6,Alan Kennedy,9,D & B Pearce,0,143,10,1216,4,12,6,74.88782873
7/11/2023,Bunbury,6,2,Material Witness,59,75.99999994,1,Austin Galati,8.5,William Lewthwaite,5,11,2,1216,7,34,5,76.57549299
7/11/2023,Bunbury,6,3,Jelly Can Run,58.5,75.04166689,7,J Whiting,5.5,G C Ballantyne,0,66,5,1216,4,7,4,78.66315779
7/11/2023,Bunbury,6,4,Manhattan Strip,58.5,76.84999971,5,Lucy Warwick,3.799999952,D & B Pearce,0,129,7,1216,4,12,3,82.28157889
7/11/2023,Bunbury,6,5,Comealilbitcloser,55,70.47698665,3,Brayden Gaerth,18,L P Luciani,1,12,7,1216,6,46,8,68.62631557
7/11/2023,Bunbury,6,6,So Likable,56.5,74.99642848,4,Jade Mc Naught,9,Hayden Ballantyne,3,17,7,1216,5,26,2,81.360033
7/11/2023,Bunbury,6,7,Dream Evil,55.5,79.4,2,Ms K Yuill,3.099999905,G W Dupre,1,20,1,1216,6,23,1,83.5
7/11/2023,Bunbury,6,8,Wheatstack Thief,55.5,64.15,8,J Brown,31,Ms F J Hossell,0,228,10,1216,6,24,9,55.00493335
7/11/2023,Bunbury,6,9,Master Buddha,52,74.725,9,Cassey Martinan,41,Joshua McLeod,3,10,3,1216,5,27,7,66.90476995
7/11/2023,Bunbury,7,2,Field Of Battle,60,71.8,1,Jade Mc Naught,9,Ms S L Miller,5,30,1,1216,5,16,6,69.53388163
7/11/2023,Bunbury,7,3,Simply Rosso,60,69.99166672,2,Alan Kennedy,3.299999952,M L Lane,0,82,5,1216,4,5,4,71.56924342
7/11/2023,Bunbury,7,4,After Party,59,75.04999989,5,P Harvey,2.700000048,R W Price,1,20,4,1216,6,7,2,71.9
7/11/2023,Bunbury,7,5,Western Impact,59,72.15416645,3,Ms K Yuill,7.5,Ms R L Mills,1,10,2,1216,4,6,8,57.42631557
7/11/2023,Bunbury,7,6,Albiton,58.5,66.43750011,8,Austin Galati,14,Ms S Naylor,0,83,5,1216,5,7,1,71.5
7/11/2023,Bunbury,7,8,Coolex,56,77.8,7,Brayden Gaerth,26,J J Enright,1,10,1,1216,4,13,7,56.15707215
7/11/2023,Bunbury,7,9,Schuhbeck,53,60.54374934,6,Ava Catarino,41,Holly Locke,0,195,9,1216,6,20,5,65.29078945
7/11/2023,Bunbury,7,10,Angel's My Name,55.5,79.46428581,4,J Whiting,6,G C Ballantyne,0,111,2,1216,5,13,3,67.96924342
7/11/2023,Canberra,1,1,Crucial Witness,59,66.41428571,5,Holly Durnan,2.400000095,G P Vella,0,186,9,1200,6,30,5,56.30416754
7/11/2023,Canberra,1,2,Paper Daisy,60.5,61.77916667,4,Billy Owen,6.5,Ms S Murray-Leslie,3,9,8,1200,5,18,3,67.81666645
7/11/2023,Canberra,1,3,Super Sprocket,57,68.225,1,Ms C Keatings,3.599999905,Jamie Stewart,6,18,2,1200,4,11,1,75.1
7/11/2023,Canberra,1,5,Port Douglas,58,NULL,2,Ellen Hennessy,19,Matthew Kelley,1,17,4,1200,7,29,4,65.81666645
7/11/2023,Canberra,1,6,Geminids,56.5,63.03333333,6,D R Beasley,4.199999809,N F Gardner,3,32,7,1200,5,23,2,72.63750005
7/11/2023,Canberra,1,7,Dollywood,55,NULL,3,Damon Budler,20,J M Cleary,1,17,1,1200,4,5,6,43.93750087
7/11/2023,Canberra,2,2,Poker Dice,60,67.45000029,1,Damon Budler,7.5,K R Dryden,5,32,6,2000,5,20,3,67.55000029
7/11/2023,Canberra,2,3,Booshang,58.5,75.2,5,Nick Heywood,2.25,Matthew Kelley,4,18,1,2000,4,7,4,64.10000029
7/11/2023,Canberra,2,4,Burgundy Girl,58.5,64.04166652,7,Billy Owen,5.5,K R Dryden,3,15,6,2000,5,19,1,74.9
7/11/2023,Canberra,2,5,Let's Say Grace,58.5,70.75,4,Simon Miller,6.5,Ms D Scott,8,10,2,2000,5,16,5,63.79999986
7/11/2023,Canberra,2,6,The Big Biig,58.5,68.4,2,M A Cahill,8.5,Lauri Wray,1,19,1,2000,5,10,6,59.44999971
7/11/2023,Canberra,2,8,Australian Harbour,56.5,64.81666671,6,D R Beasley,6,T P Donnelly,2,10,4,2000,5,11,2,73
7/11/2023,Canberra,2,9,Red Hot Sass,55,53.43437467,3,Ms K Nisbet,81,J M Cleary,3,9,9,2000,5,13,7,38.94999943
7/11/2023,Canberra,3,2,Force Awakens,59,NULL,1,P Zerafa,31,K C Byrne,0,192,8,1000,11,59,8,33.54999948
7/11/2023,Canberra,3,3,Love Of Air,59,62.31249989,8,Ms C Keatings,3.799999952,R Cole,9,18,6,1000,5,20,3,55.27499974
7/11/2023,Canberra,3,4,Inland Retreat,61.5,50.85714248,4,Nick Heywood,6.5,Blake Fitzpatrick,0,91,6,1000,8,11,4,57.27499974
7/11/2023,Canberra,3,5,Otto From Hamburg,58,48.825,5,Emma Ly,9.5,Scott Collings,6,29,9,1000,11,77,2,55.30000026
7/11/2023,Canberra,3,6,Cambridge Rules,60.5,NULL,7,Pierre Boudvillain,7,N J Osborne,1,17,1,1000,5,15,5,54.27500052
7/11/2023,Canberra,3,7,Tiz War Bro,58,52.41907131,3,Holly Durnan,4.599999905,P J Facoory,0,137,6,1000,7,45,6,37.97500105
7/11/2023,Canberra,3,8,Artiebett,59.5,55.50000013,2,Billy Owen,3.599999905,C Karakatsanis,0,123,4,1000,4,3,1,66.4
7/11/2023,Canberra,3,9,Lucky Champion,56.5,NULL,6,Ms K Nisbet,71,J Rolfe,1,31,4,1000,8,41,7,36.5
7/11/2023,Canberra,4,1,Departing Bullet,62.5,70.39999996,1,Ellen Hennessy,6.5,P Niceforo,15,9,2,1600,7,71,5,73.13749984
7/11/2023,Canberra,4,2,Offspring,62,69.38125033,5,Nick Heywood,2,K R Dryden,4,18,4,1600,4,13,1,80.3
7/11/2023,Canberra,4,3,Stratum Pride,61.5,67.31874984,2,Jack Martin,3.799999952,K R Dryden,2,18,7,1600,5,21,4,74.39999992
7/11/2023,Canberra,4,4,Shaddy,60.5,72.61785724,3,Pierre Boudvillain,18,Anthony Warren,6,32,4,1600,6,34,2,77.20937496
7/11/2023,Canberra,4,6,Gwennybegg,55,NULL,4,P Zerafa,41,G Boucher,1,17,2,1600,8,50,6,60.77812434
